Image1,Image2,MSE,NRMSE,SSIM,PSNR,CK1_vp9
107.png,110.png,28.696638454861112,0.021007546457132383,0.704013041246624,15.155355981752292,0.2893972133224052
108.png,11.png,18.29132052951389,0.016771903295970295,0.7871129188612699,18.418286462124264,0.21601585186703565
108.png,109.png,18.45802191840278,0.01684815689925766,0.7876515763340816,18.17958619686164,0.21915353931444792
108.png,111.png,25.47316623263889,0.019792528748837777,0.7403316678595013,16.94454295859089,0.2596457581227436
108.png,110.png,29.451337890625,0.021281994848664023,0.6848828088365679,14.882951322771234,0.2952602771631536
109.png,11.png,11.674307725694444,0.013399092583307529,0.8621062897905148,20.96248540315027,0.18676975198714318
109.png,111.png,20.395508897569446,0.017710347903891806,0.7925797393381661,18.343310477438905,0.23835935360175298
109.png,110.png,25.021686197916665,0.019616345685115107,0.7400481240389568,15.612855718744703,0.2831793278272958
11.png,111.png,20.761363932291665,0.017868486166495043,0.7838424857711308,18.323011936185537,0.2419282278437207
11.png,110.png,25.626134982638888,0.01985186779287153,0.7417608715560169,15.955970683932396,0.28065207829338035
110.png,111.png,29.04157009548611,0.021133423966377397,0.7274524071205256,15.822148265031652,0.27339583186485283
