authorChannelId,Count
UCQmXNIfM5v2rUxHFn0jQzGQ,82
UCZT-u8nx6DNd__8zx4pQRXw,82
UCFOyAwRISaGWMAh4iIWjRkQ,82
UCmx_RB0k-rzuxnaghPNSViw,82
UCrBbVQJAKC6jHQph9P-9Deg,82
UCDuiKMFFd1Y70-3uMRSB5VA,82
UCDLVsqlw7O80v3_6DjGI3-g,82
UCQUFzwPC7fXgwnhTaDAHugA,82
UCpEvuuQOV_mXPjla6FjYqOQ,82
UCXCaZ4Q-IKxsHl-j7ohVJxw,82
UCvFeI7SZQjBaRPyN1pxLqCQ,82
UCiikG2pDcLiUllGwN6ymziQ,82
UCMBrnPzUnUNkVj63YHlnnWQ,81
UCf98HdrPMAzGuvVdCnrEXKw,81
UCz6KN9myJofhizFhUvApFaA,81
UCDwuSadBT3MFmZDambBoSMg,81
UCBuijJ4flFUbf1hpKeg2K3g,81
UCargtdm25WTiXfnaMob1LMA,81
UCiHVgIZ7NpWIIjUxMygSBDw,81
UCjlO4xn5cViEQC0BkWtetiA,80
UCn-kgPwPX0RCNA-I1iwi6Tw,80
UCGhXOltM4Kh8Dsu_QdkxuGg,80
UCmqGzSuPXtv0kg0-dWCDEjQ,80
UCpos_ZjAcrYRWjZHjvjTt3Q,80
UCsP96Atg0FfB_wdm07h_OTA,80
UC3E3nJp3JKVUsyjJ4td-TcQ,80
UCJX4JUOxxvfoYAG7rhPPNGg,80
UC9q4AsGuGo3Ki2Giqku1l6Q,80
UC5Vp6_adMggmbX-2DPBSMWQ,80
UCv8Ny-_DLQFjf8DR68Xi35A,80
UChJR9R_-LO8fEgSpMZUMmQA,80
UC1wxe24wCNJPpCgrsWSQRVw,79
UCVNBBGSI9s0jnIRp9PISOkA,79
UC_HBtEQsnTm1DdItJGTrfGw,79
UCUDESF4f99JklnNqjeCScrQ,79
UC3Z1zKeR6rixSoHu7BmhZ8g,79
UCJyj_svHO5ttIK9DhnVOfaw,79
UCmXUeSvlaN1CgGtw_k598XA,78
UCVuXnrIePb22sfy5KheTQ8g,78
UCcq6WwNxpZLlyNb76kLFURg,78
UCtpVBFh-Pf6LBVMNgFYm74g,78
UCdUeAWhTY1APdMB0nOMLe9g,78
UCqN6djtHEw0VVZjJwhbPO4A,78
UCk_6KOHSoITJBio6ExvUl9A,78
UCn2EgsVDLVFFfHNl6UFtSZA,78
UCXT7NZUfPCtf1T9FhrWjNig,78
UCjgGA4tS8F3XsQ1G6NtoiEg,78
UCMoVp_XfQYAxQ-TWfWOhqMQ,78
UCMKkDnCML_bCrbibnJrA7GQ,78
UCtEcplpUdDk2om9lY5erwbQ,78
UC7_PPVblCSqlHvOX1FchAlw,77
UCfWc5IaYtz14TfwdUBf0kvA,77
UCa7NrxJ7ListENQH2NyBr2A,77
UCw4q4cQU8p5zTzvCGs_yMFw,77
UCIBHv3SQGBjEgmokvkAB8YA,77
UCevcyVTeGI6Kn9JjAqwiOmg,77
UCaT_HNj3h4DXeB0xyQgIT6Q,77
UCKVV8GlzahtggwwEgTAvOXA,77
UCPNqHTDxf7yDbMcZU21m48g,77
UCfaIZT4jlVjHNgviJtT1tTQ,77
UCUWbNiIhJ6dTn9LHzMyiZHg,77
UCsFPtoqO447nOz20XDlsYCA,77
UCdAO1d7P6qj9e4XGnlEj1vw,77
UCfWf6DrXRWcpPRh8E2WDAdw,76
UCrKadpkTRTJI8Y0lHB4g0-g,76
UCbbkl-up_08cHDtTwDwCkOg,76
UC-CozIrVOhuBWHr70iowIVQ,76
UC9HrBK3zz-Qgu-t1dohu9-Q,76
UC2Swm2oyUDsaW1tJcOM5Qjw,76
UC2B2xuG_WGSnGgaVqzqfI8w,76
UCsCsePj65GBAz-f5dYhrdig,76
UCYhpJtKz6Owc44izvhn5-TA,75
UCaYQi9GIOfT4AHFArEDPxzA,75
UCBLgv4pfQoU_lfI1hs8dRsQ,75
UCtNhCjIIgkJSY6ZiJuMFwfw,75
UC6NQCpj_8X9n_xtW060qVCA,75
